,Id,Label,Interval,Giant_Component,cluster_eigen,cluster_kmeans,cluster_GN,hashtags,gruppo
522,1053632622465818624,Efisio31251859,,1,2,1,1,@matteosalvinimi,1
523,702614277472034818,rosydandrea1,,1,1,1,1,@matteosalvinimi,1
524,1684975140,poteredonna,,0,0,0,0,@matteosalvinimi,1
525,1538890382,NoiSiamoPronti,,1,1,1,1,@matteosalvinimi,1
526,1359101255373774852,Arianna42843157,,1,1,1,1,@matteosalvinimi,1
527,1220468887143186434,monsieuu,,1,1,1,1,@matteosalvinimi,1
528,1351993606849114112,FabioFZ3,,1,1,1,1,@matteosalvinimi,1
529,1042691054,MastroRadu,,1,1,1,1,@matteosalvinimi,1
530,1422816442978811906,MackVv5,,1,1,1,1,@matteosalvinimi,1
531,1176730104103411712,the_fourty,,1,1,1,1,@matteosalvinimi,1
532,1217541421,fabio251110,,1,1,1,1,@matteosalvinimi,1
533,508688015,PuniFra,,1,1,1,1,@matteosalvinimi,1
534,1259097121392930817,BassottiViviani,,1,1,1,1,@matteosalvinimi,1
535,1133656803848445952,GeorgeP76500486,,1,1,1,1,@matteosalvinimi,1
536,3084886731,EureosCriss,,1,1,1,1,@matteosalvinimi,1
537,84059236,CALIGOLA7,,1,1,1,1,@matteosalvinimi,1
538,1364889477915811842,fracchio_2,,1,1,1,1,@matteosalvinimi,1
539,2789578728,elalippolis,,1,1,1,1,@matteosalvinimi,1
540,1349467232,Je_Scotti,,1,2,1,1,@matteosalvinimi,1
541,401534305,ivanacristofane,,1,2,1,1,@matteosalvinimi,1
542,1474439140590690438,fckdraghi,,0,0,0,0,@matteosalvinimi,1
543,3879766835,RomanoBenedetti,,1,1,1,1,@matteosalvinimi,1
544,414108131,GianniVezzani1,,1,1,1,1,@matteosalvinimi,1
545,146030638,simodj77,,1,1,1,1,@matteosalvinimi,1
546,50267238,ItsmeFede,,1,2,1,1,@matteosalvinimi,1
547,4180153228,jorosa582,,1,1,1,1,@matteosalvinimi,1
548,57358236,lucabattanta,,1,1,1,1,@matteosalvinimi,1
549,1439304861393227789,MarcusAemilius2,,1,1,1,1,@matteosalvinimi,1
550,463227847,ContinuouSafety,,1,1,1,1,@matteosalvinimi,1
551,1420391943654322183,MCMXLVIII8,,1,1,1,1,@matteosalvinimi,1
552,1451535624675250184,Stok_Azz_Ho,,1,1,1,1,@matteosalvinimi,1
553,1392155702,WendellGee1985,,1,1,1,1,@matteosalvinimi,1
554,391225628,Tullio_Filippi,,1,1,1,1,@matteosalvinimi,1
555,1352144580699938818,MatteoG77221464,,1,1,1,1,@matteosalvinimi,1
556,333375372,LPeyretti,,1,1,1,1,@matteosalvinimi,1
557,3240865342,EsaLamorte,,1,1,1,1,@matteosalvinimi,1
558,971816547898490881,CarpaneseSilva1,,1,2,1,1,@matteosalvinimi,1
559,171857278,24enrico,,1,1,1,2,@matteosalvinimi,1
560,490736218,redbus2012,,1,1,1,1,@matteosalvinimi,1
561,2480323358,SoqquadroM,,1,1,1,1,@matteosalvinimi,1
562,1284506453877952513,Katia48386800,,1,1,1,1,@matteosalvinimi,1
563,1290588940731326465,BR1SANT,,1,2,1,1,@matteosalvinimi,1
564,792793865489117184,AnnaP1953,,1,2,2,1,@matteosalvinimi,1
565,506334225,AnnaAlisa12,,1,1,1,1,@matteosalvinimi,1
566,1142032210045886465,Antonio28651908,,1,1,1,1,@matteosalvinimi,1
