Source,Target,Type,Kind,Id,Label,Interval,user_id_retweet,weight
792043177465315328,1203597456031834113,Directed,,4570,,,1203597456031834113,0.028592375366568914
1349697321576099840,22038676,Directed,,4571,,,22038676,0.4237536656891496
1150751883566493696,22038676,Directed,,4572,,,22038676,0.4237536656891496
988479725692735489,1203597456031834113,Directed,,4573,,,1203597456031834113,0.028592375366568914
407093504,1203597456031834113,Directed,,4574,,,1203597456031834113,0.028592375366568914
330826868,22038676,Directed,,4575,,,22038676,0.4237536656891496
1294353763403288577,22038676,Directed,,4576,,,22038676,0.4237536656891496
1242833365209882626,1203597456031834113,Directed,,4577,,,1203597456031834113,0.028592375366568914
425721973,3024638457,Directed,,4578,,,3024638457,0.008064516129032258
14774209,22038676,Directed,,4579,,,22038676,0.4237536656891496
484087011,22038676,Directed,,4580,,,22038676,0.4237536656891496
1274240793839046656,22038676,Directed,,4581,,,22038676,0.4237536656891496
240310965,22038676,Directed,,4582,,,22038676,0.4237536656891496
3154745633,22038676,Directed,,4583,,,22038676,0.4237536656891496
851739414208315393,22038676,Directed,,4584,,,22038676,0.4237536656891496
1316005306363764737,1316005306363764737,Directed,,4585,,,1316005306363764737,0.0
892479939110469632,22038676,Directed,,4586,,,22038676,0.4237536656891496
954090832965062657,22038676,Directed,,4587,,,22038676,0.4237536656891496
971444556502831105,22038676,Directed,,4588,,,22038676,0.4237536656891496
493992196,22038676,Directed,,4589,,,22038676,0.4237536656891496
1420443511,22038676,Directed,,4590,,,22038676,0.4237536656891496
1392230741875040256,22038676,Directed,,4591,,,22038676,0.4237536656891496
476644532,22038676,Directed,,4592,,,22038676,0.4237536656891496
1458168051103318025,22038676,Directed,,4593,,,22038676,0.4237536656891496
3731722336,22038676,Directed,,4594,,,22038676,0.4237536656891496
2972915800,22038676,Directed,,4595,,,22038676,0.4237536656891496
541232574,22038676,Directed,,4596,,,22038676,0.4237536656891496
840400950,22038676,Directed,,4597,,,22038676,0.4237536656891496
470528734,22038676,Directed,,4598,,,22038676,0.4237536656891496
442562471,22038676,Directed,,4599,,,22038676,0.4237536656891496
90081211,22038676,Directed,,4600,,,22038676,0.4237536656891496
2431096684,22038676,Directed,,4601,,,22038676,0.4237536656891496
771845959697530881,3024638457,Directed,,4602,,,3024638457,0.008064516129032258
1128021863450447872,22038676,Directed,,4603,,,22038676,0.4237536656891496
24608545,22038676,Directed,,4604,,,22038676,0.4237536656891496
1259511562592755713,22038676,Directed,,4605,,,22038676,0.4237536656891496
932642310709497857,22038676,Directed,,4606,,,22038676,0.4237536656891496
879739013954928641,22038676,Directed,,4607,,,22038676,0.4237536656891496
4480481955,22038676,Directed,,4608,,,22038676,0.4237536656891496
102083128,22038676,Directed,,4609,,,22038676,0.4237536656891496
981087656921718784,22038676,Directed,,4610,,,22038676,0.4237536656891496
452013510,22038676,Directed,,4611,,,22038676,0.4237536656891496
1636360536,22038676,Directed,,4612,,,22038676,0.4237536656891496
1098257082,22038676,Directed,,4613,,,22038676,0.4237536656891496
2359317084,22038676,Directed,,4614,,,22038676,0.4237536656891496
2324171570,22038676,Directed,,4615,,,22038676,0.4237536656891496
1228111170,22038676,Directed,,4616,,,22038676,0.4237536656891496
1352801998983335937,22038676,Directed,,4617,,,22038676,0.4237536656891496
493241623,22038676,Directed,,4618,,,22038676,0.4237536656891496
500929214,429404903,Directed,,4619,,,429404903,0.0
1321173403429150726,22038676,Directed,,4620,,,22038676,0.4237536656891496
983784618284453888,22038676,Directed,,4621,,,22038676,0.4237536656891496
450818060,22038676,Directed,,4622,,,22038676,0.4237536656891496
1172256394499768321,22038676,Directed,,4623,,,22038676,0.4237536656891496
514143608,22038676,Directed,,4624,,,22038676,0.4237536656891496
1050589128,22038676,Directed,,4625,,,22038676,0.4237536656891496
2772374080,22038676,Directed,,4626,,,22038676,0.4237536656891496
423778991,22038676,Directed,,4627,,,22038676,0.4237536656891496
2998772627,22038676,Directed,,4628,,,22038676,0.4237536656891496
254583557,22038676,Directed,,4629,,,22038676,0.4237536656891496
908731428124397568,22038676,Directed,,4630,,,22038676,0.4237536656891496
160918209,22038676,Directed,,4631,,,22038676,0.4237536656891496
4763666843,22038676,Directed,,4632,,,22038676,0.4237536656891496
778186816662933504,22038676,Directed,,4633,,,22038676,0.4237536656891496
718651225,22038676,Directed,,4634,,,22038676,0.4237536656891496
4197183543,22038676,Directed,,4635,,,22038676,0.4237536656891496
1368739548415541251,22038676,Directed,,4636,,,22038676,0.4237536656891496
2178858872,22038676,Directed,,4637,,,22038676,0.4237536656891496
1145063985261056000,22038676,Directed,,4638,,,22038676,0.4237536656891496
458575201,22038676,Directed,,4639,,,22038676,0.4237536656891496
446234444,22038676,Directed,,4640,,,22038676,0.4237536656891496
948578516982956035,22038676,Directed,,4641,,,22038676,0.4237536656891496
2230133912,22038676,Directed,,4642,,,22038676,0.4237536656891496
3317678944,22038676,Directed,,4643,,,22038676,0.4237536656891496
231902290,22038676,Directed,,4644,,,22038676,0.4237536656891496
1416651131837730818,22038676,Directed,,4645,,,22038676,0.4237536656891496
2387188576,3024638457,Directed,,4646,,,3024638457,0.008064516129032258
1222871997971095552,22038676,Directed,,4647,,,22038676,0.4237536656891496
121472282,22038676,Directed,,4648,,,22038676,0.4237536656891496
1063944884,22038676,Directed,,4649,,,22038676,0.4237536656891496
307278565,22038676,Directed,,4650,,,22038676,0.4237536656891496
2603871727,1155496557174808577,Directed,,4651,,,1155496557174808577,0.001466275659824047
1255898394175963137,22038676,Directed,,4652,,,22038676,0.4237536656891496
138044681,1363020715482578944,Directed,,4653,,,1363020715482578944,0.0
2921922543,510323032,Directed,,4654,,,510323032,0.0
413754844,22038676,Directed,,4655,,,22038676,0.4237536656891496
1001928643826864128,22038676,Directed,,4656,,,22038676,0.4237536656891496
1343999965916508160,22038676,Directed,,4657,,,22038676,0.4237536656891496
358667327,22038676,Directed,,4658,,,22038676,0.4237536656891496
