Id,Label,Interval,Colour,Giant_Component,cluster_eigen,cluster_kmeans,Colour_GN,Cluster_mod
1407830436945014787,AChierchini,,#99cccc,1,2,1,1,#aaaacc
1337734677340282885,Swiety000,,#99cccc,1,2,1,1,#aaaacc
1020380156194631680,DamatoRicardo,,#99cccc,1,1,1,1,#aaaacc
1428767360,MaurizioFuochi,,#99cccc,1,2,1,1,#aaaacc
1248557329882271744,Titti14760140,,#99cccc,1,1,1,1,#aaaacc
1433735493150257175,hondama2021,,#99cccc,1,1,1,1,#aaaacc
3155682418,ChiodiDonatella,,#99cccc,1,1,1,1,#aaaacc
977434731523559424,vecchietta73,,#99cccc,1,1,1,1,#aaaacc
1094253615420706816,frances88451672,,#99cccc,1,2,2,1,#aaaacc
1455571620018393094,tint_adree,,#99cccc,1,1,1,1,#aaaacc
376346903,51rolando,,#99cccc,1,1,1,1,#aaaacc
826540340349919232,giovannella58,,#99cccc,1,1,1,1,#aaaacc
1044694002073849856,essegiovanna,,#99cccc,0,0,0,0,#aaaacc
1292914455597260803,potentegiorgio,,#99cccc,1,1,1,1,#aaaacc
1228114681,robertaguarducc,,#99cccc,1,1,1,1,#aaaacc
249593744,annac82,,#99cccc,1,2,1,1,#aaaacc
585968039,Yi_Benevolence,,#99cccc,1,2,1,1,#aaaacc
1047220678414491650,mario_ciardi,,#99cccc,1,1,1,1,#aaaacc
1096126365215178755,nuvolar97330681,,#99cccc,1,1,1,1,#aaaacc
1241349438620209152,ConsueloBerni,,#99cccc,1,1,1,1,#aaaacc
1042763174,SCaronti,,#99cccc,1,1,1,1,#aaaacc
1412698450240626690,lacapraswag,,#99cccc,0,0,0,0,#aaaacc
799007315034800128,EURybor,,#99cccc,1,1,1,1,#aaaacc
229160327,marcoranieri72,,#99cccc,1,2,2,1,#aaaacc
1255171750079406081,maryberti2,,#99cccc,1,1,1,1,#aaaacc
1205465052003930112,MiamiLnm,,#99cccc,1,1,1,1,#aaaacc
1442174951096664064,moni_do71,,#99cccc,1,1,1,1,#aaaacc
1223188405368082432,Wally98754040,,#99cccc,1,1,1,1,#aaaacc
1418841815554351107,AleB36178648,,#99cccc,1,2,1,1,#aaaacc
736657903764013056,leonardiross1,,#99cccc,1,1,1,1,#aaaacc
1461304529362771973,Aurora68934704,,#99cccc,1,1,1,1,#aaaacc
761516052970889220,JesGloss,,#99cccc,1,1,1,1,#aaaacc
1311687600,BerardiLina,,#99cccc,1,1,1,1,#aaaacc
1433103620413788164,Maurofabio31,,#99cccc,1,2,1,1,#aaaacc
870620564444119040,gatta_pantera,,#99cccc,1,1,1,1,#aaaacc
1032926207938109443,Rodolfo51163075,,#99cccc,1,1,1,1,#aaaacc
817439542550679552,LauradAutunno,,#99cccc,1,1,1,1,#aaaacc
